count,duration,intensity_cumulative,intensity_cumulative_abs,intensity_cumulative_relThresh,intensity_max,intensity_max_abs,intensity_max_max,intensity_max_relThresh,intensity_mean,intensity_mean_abs,intensity_mean_relThresh,intensity_var,intensity_var_abs,intensity_var_relThresh,rate_decline,rate_onset,total_days,total_icum,years_centre,years_end,years_start
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1982.0,1982.0,1982.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1983.0,1983.0,1983.0
6.0,11.5,18.22953764165089,258.9149942127987,3.9994515235085415,1.8270768867957823,22.641666160586,2.2413187093445615,0.6292688031390726,1.5744484717543294,22.429674728398705,0.36916649672059343,0.18251396744145698,0.2161362173623823,0.18444820538226234,0.17555897277282306,0.2009358452332121,69.0,109.37722584990533,1984.0,1984.0,1984.0
1.0,7.0,12.491952977692371,159.42999643646183,2.600774135416554,2.2081613298315332,23.1999994814396,2.2081613298315332,0.7943225628906809,1.7845647110989102,22.775713776637406,0.3715391622023648,0.2747884843160374,0.2807569879311753,0.2754058655086437,0.23437432033799763,0.2803541849968911,7.0,12.491952977692371,1985.0,1985.0,1985.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1986.0,1986.0,1986.0
1.0,5.0,5.386156460077533,104.18999767117211,0.4958709566584467,1.1158348635333013,20.8799995332956,1.1158348635333013,0.14122580329494028,1.0772312920155067,20.83799953423442,0.09917419133168934,0.025258073947540465,0.026381811326838218,0.02543161265390937,0.06799786571551299,0.09833402936189119,5.0,5.386156460077533,1987.0,1987.0,1987.0
3.0,7.666666666666667,11.197079047098306,171.6033294976999,1.8186451206404246,1.7464409100442282,22.9133328211804,1.9938335997958347,0.47094622603265296,1.5214889830622635,22.709393431799423,0.2386581895173158,0.1512142258585165,0.1460933117240866,0.15529994236553987,0.12506761509658046,0.2053270686848728,23.0,33.59123714129492,1988.0,1988.0,1988.0
4.0,11.75,20.649470124070007,283.017493674066,4.803161182963564,2.089861767915158,24.054999462328848,2.7458046129355296,0.7942903048268688,1.6989922338384968,23.725659191912403,0.39547568560486995,0.25713126917003765,0.27420286164528535,0.25771094151113044,0.1358631466949943,0.31067725419300846,47.0,82.59788049628003,1989.0,1989.0,1989.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1990.0,1990.0,1990.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1991.0,1991.0,1991.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1992.0,1992.0,1992.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1993.0,1993.0,1993.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1994.0,1994.0,1994.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,1995.0,1995.0,1995.0
4.0,14.5,25.62285545983275,333.0349925560877,9.180773988342064,2.052911144594364,23.217499481048424,2.4679470261406102,0.9265241728389446,1.6375932097225143,22.706907387197898,0.5406594106657413,0.26301414204631374,0.3006082677383777,0.26462000265514907,0.2460780790089004,0.2196300153110627,58.0,102.491421839331,1996.0,1996.0,1996.0
1.0,14.0,26.602362097055476,334.7199925184252,7.166903065613948,2.56232185740895,24.4499994534999,2.56232185740895,1.1602257805185303,1.9001687212182483,23.90857089417323,0.5119216475438534,0.45612534556095485,0.44368355078896854,0.455644971458062,0.10540143198632418,0.36810894049689863,14.0,26.602362097055476,1997.0,1997.0,1997.0
1.0,20.0,25.993082152502534,424.8799905031919,6.0880643800500565,2.1467297129694387,22.0199995078146,2.1467297129694387,1.1261935232146634,1.2996541076251267,21.243999525159595,0.30440321900250283,0.3490648132003508,0.34243830795910096,0.34371631587822066,0.22386266865367174,0.08995912000116307,20.0,25.993082152502534,1998.0,1998.0,1998.0
1.0,95.0,239.13651824859056,2285.189948922023,110.79019107203325,3.675752161686603,26.399999409914,3.675752161686603,2.2758064007446386,2.5172265078799008,24.054631041284456,1.16621253760035,0.4925061582750922,1.2051379302467582,0.47087474382531436,0.03183586060258895,0.21286968613143573,95.0,239.13651824859056,1999.0,1999.0,1999.0
2.0,17.0,32.24496328886625,419.2649906286969,10.082515903670402,2.1526281399237703,23.9499994646758,2.786686154721508,0.9402257854359473,1.654373362299303,23.441689131209817,0.4630544946554848,0.3234339207107285,0.29999305981293545,0.31305493386377736,0.1148608640279986,0.17010312918960935,34.0,64.4899265777325,2000.0,2000.0,2000.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,2001.0,2001.0,2001.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,2002.0,2002.0,2002.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,2003.0,2003.0,2003.0
1.0,5.0,8.197706206174256,124.0699972268194,1.2552257783951575,1.7806780016099317,24.9799994416535,1.7806780016099317,0.3899354751552444,1.6395412412348513,24.81399944536388,0.2510451556790315,0.1621394205513393,0.1946894920265789,0.15974609778736326,0.1938349095317002,0.22372996330397635,5.0,8.197706206174256,2004.0,2004.0,2004.0
1.0,14.0,24.052696520942508,313.0899930018932,6.354838567635738,2.514708021637837,23.269999479875,2.514708021637837,1.1985806183709613,1.7180497514958935,22.363570928706658,0.4539170405454099,0.37495301500844525,0.4526210414555526,0.3451732936207097,0.13249359662891333,0.3663937153889495,14.0,24.052696520942508,2005.0,2005.0,2005.0
0.0,,,,,,,,,,,,,,,,,0.0,0.0,2006.0,2006.0,2006.0
